vg	vd	ids
0.0	0.0	1.1132e-13
0.0	0.05	1.6263e-10
0.0	0.1	1.8673e-10
0.0	0.15	1.9042e-10
0.0	0.2	1.9111e-10
0.0	0.25	1.9135e-10
0.0	0.3	1.9151e-10
0.0	0.35	1.9164e-10
0.0	0.4	1.9176e-10
0.0	0.45	1.9187e-10
0.0	0.5	1.9197e-10
0.05	0.0	1.0114e-12
0.05	0.05	1.1053e-09
0.05	0.1	1.272e-09
0.05	0.15	1.2976e-09
0.05	0.2	1.3025e-09
0.05	0.25	1.3043e-09
0.05	0.3	1.3055e-09
0.05	0.35	1.3065e-09
0.05	0.4	1.3074e-09
0.05	0.45	1.3082e-09
0.05	0.5	1.3089e-09
0.1	0.0	7.4557e-12
0.1	0.05	7.4762e-09
0.1	0.1	8.6113e-09
0.1	0.15	8.7897e-09
0.1	0.2	8.8251e-09
0.1	0.25	8.8385e-09
0.1	0.3	8.8475e-09
0.1	0.35	8.8551e-09
0.1	0.4	8.8618e-09
0.1	0.45	8.8678e-09
0.1	0.5	8.8733e-09
0.15	0.0	5.2336e-11
0.15	0.05	4.8532e-08
0.15	0.1	5.6237e-08
0.15	0.15	5.7472e-08
0.15	0.2	5.7726e-08
0.15	0.25	5.7825e-08
0.15	0.3	5.7892e-08
0.15	0.35	5.7948e-08
0.15	0.4	5.7996e-08
0.15	0.45	5.8039e-08
0.15	0.5	5.8077e-08
0.2	0.0	2.8571e-10
0.2	0.05	2.6615e-07
0.2	0.1	3.1625e-07
0.2	0.15	3.247e-07
0.2	0.2	3.2646e-07
0.2	0.25	3.2711e-07
0.2	0.3	3.2753e-07
0.2	0.35	3.2787e-07
0.2	0.4	3.2816e-07
0.2	0.45	3.2842e-07
0.2	0.5	3.2864e-07
0.25	0.0	8.7734e-10
0.25	0.05	9.3898e-07
0.25	0.1	1.1977e-06
0.25	0.15	1.2488e-06
0.25	0.2	1.2592e-06
0.25	0.25	1.2624e-06
0.25	0.3	1.2642e-06
0.25	0.35	1.2656e-06
0.25	0.4	1.2667e-06
0.25	0.45	1.2677e-06
0.25	0.5	1.2685e-06
0.3	0.0	1.7085e-09
0.3	0.05	2.0097e-06
0.3	0.1	2.841e-06
0.3	0.15	3.0636e-06
0.3	0.2	3.1103e-06
0.3	0.25	3.1225e-06
0.3	0.3	3.1277e-06
0.3	0.35	3.1311e-06
0.3	0.4	3.1337e-06
0.3	0.45	3.1359e-06
0.3	0.5	3.1379e-06
0.35	0.0	2.5152e-09
0.35	0.05	3.151e-06
0.35	0.1	4.9066e-06
0.35	0.15	5.5491e-06
0.35	0.2	5.715e-06
0.35	0.25	5.7542e-06
0.35	0.3	5.7672e-06
0.35	0.35	5.7739e-06
0.35	0.4	5.7787e-06
0.35	0.45	5.7826e-06
0.35	0.5	5.7858e-06
0.4	0.0	3.2201e-09
0.4	0.05	4.177e-06
0.4	0.1	7.0098e-06
0.4	0.15	8.3707e-06
0.4	0.2	8.8203e-06
0.4	0.25	8.9351e-06
0.4	0.3	8.9697e-06
0.4	0.35	8.983e-06
0.4	0.4	8.9908e-06
0.4	0.45	8.9966e-06
0.4	0.5	9.0013e-06
0.45	0.0	3.8005e-09
0.45	0.05	5.0194e-06
0.45	0.1	8.8882e-06
0.45	0.15	1.1146e-05
0.45	0.2	1.2179e-05
0.45	0.25	1.2485e-05
0.45	0.3	1.2568e-05
0.45	0.35	1.2596e-05
0.45	0.4	1.2609e-05
0.45	0.45	1.2618e-05
0.45	0.5	1.2625e-05
0.5	0.0	4.2686e-09
0.5	0.05	5.6745e-06
0.5	0.1	1.0414e-05
0.5	0.15	1.3662e-05
0.5	0.2	1.5464e-05
0.5	0.25	1.6204e-05
0.5	0.3	1.6413e-05
0.5	0.35	1.648e-05
0.5	0.4	1.6505e-05
0.5	0.45	1.6518e-05
0.5	0.5	1.6526e-05
