lg_nw,r_nw,t_ox,index
15,5,1.5,210
11,2.5,1.5,45
13,2.5,1.25,114
16,4,1.5,235
16,4,0.75,232
15,2,0.5,176
15,4.5,1.5,205
12,3,1.25,84
15,5,1,208
15,4,0.75,197
12,2,0.5,71
18,3.5,0.5,296
13,2,1,108
18,4,1,303
18,3,1.5,295
19,4.5,1.5,345
17,2,1.5,250
13,3.5,1.5,125
10,2,0.75,2
17,3.5,0.75,262
12,3.5,1,88
13,2.5,0.75,112
20,3,1,363
18,4.5,1.25,309
19,4,1.5,340
10,2,1.5,5
11,3,1,48
14,3,0.5,151
17,2,0.5,246
16,4,1,233
16,3,1.25,224
15,2,0.75,177
13,4,1.25,129
10,3.5,1.25,19
11,2.5,0.75,42
12,5,1.5,105
11,4.5,1,63
10,2,1,3
19,5,0.5,346
18,4,0.5,301
15,2,1,178
17,2,0.75,247
19,3,0.75,327
17,4,1.5,270
10,2.5,1,8
17,5,0.75,277
20,4,0.75,372
16,4.5,0.5,236
20,5,1.5,385
11,5,0.75,67
20,2,0.5,351
16,2.5,1.25,219
10,3.5,1.5,20
12,4,1,93
18,5,0.5,311
18,2,1.5,285
20,3,0.5,361
20,3,1.25,364
14,2,1.5,145
15,4.5,1.25,204
13,5,1.5,140
16,4,1.25,234
11,4.5,0.5,61
11,2.5,0.5,41
17,4,1.25,269
12,3.5,0.5,86
17,2.5,1,253
11,2,1.5,40
19,2.5,1.25,324
15,3.5,1,193
10,5,1.25,34
11,3.5,1,53
18,4,1.25,304
15,3.5,0.75,192
14,5,0.5,171
11,4,0.75,57
17,4.5,0.5,271
18,4,0.75,302
10,3,0.75,12
10,2.5,0.75,7
15,3,0.75,187
17,3,1.5,260
15,5,0.5,206
13,4,0.5,126
19,4.5,1,343
20,3,1.5,365
13,3,1.5,120
11,5,1.25,69
10,3,1.5,15
17,5,1.5,280
20,3.5,1.25,369
16,2,0.5,211
19,2,1.5,320
17,3,0.5,256
12,2,1.5,75
16,3.5,0.5,226
15,2.5,0.75,182
14,4,0.75,162
14,4.5,1.25,169
11,3,0.5,46
18,3.5,0.75,297
20,2,1.25,354
15,4,1.25,199
14,5,1.25,174
18,5,1.5,315
11,4.5,1.5,65
18,2,1.25,284
15,4.5,1,203
19,2,1,318
14,2,0.75,142
17,3,1.25,259
17,2,1,248
19,5,1.25,349
15,2.5,0.5,181
20,4.5,1.25,379
17,3.5,1.25,264
