lg_nw,r_nw,t_ox,index
16,2,1.5,215
19,2,0.5,316
11,2,0.5,36
20,2.5,1,358
15,3,1,188
11,5,0.5,66
14,2.5,0.5,146
16,2.5,0.5,216
10,3,0.5,11
14,5,1.5,175
19,3,1.25,329
10,4.5,0.5,26
20,3.5,1.5,370
16,3.5,0.75,227
14,4.5,0.5,166
17,3.5,1,263
16,5,0.75,242
20,4.5,1,378
13,4.5,1.5,135
12,4.5,0.5,96
17,3,1,258
14,3,1.5,155
15,2.5,1.5,185
17,4.5,0.75,272
15,2.5,1.25,184
20,4,1.25,374
19,2.5,0.5,321
14,2,0.5,141
19,5,1.5,350
12,2.5,0.75,77
12,4.5,1.25,99
15,3.5,1.5,195
13,5,1.25,139
16,2,1,213
10,4.5,0.75,27
13,4,1.5,130
15,3,0.5,186
20,2,0.75,352
14,4.5,1.5,170
12,5,1.25,104
17,2,1.25,249
19,2.5,1,323
14,3.5,1.5,160
18,2.5,1.25,289
13,4,1,128
11,4,0.5,56
10,4,1.5,25
13,4.5,0.5,131
12,3.5,1.5,90
20,4.5,1.5,380
20,3.5,1,368
11,2.5,1.25,44
12,3,1,83
20,2.5,0.75,357
12,5,0.75,102
14,2.5,0.75,147
19,2.5,0.75,322
19,3.5,0.75,332
14,3.5,1.25,159
19,5,0.75,347
19,3,1,328
20,3,0.75,362
11,3.5,1.25,54
15,5,1.25,209
20,3.5,0.5,366
13,4.5,1.25,134
12,3,1.5,85
15,3,1.25,189
12,3,0.75,82
20,5,1,383
10,2.5,1.5,10
13,2,0.75,107
16,3.5,1.25,229
17,4,0.5,266
11,5,1,68
20,5,1.25,384
14,4,0.5,161
15,2,1.5,180
13,5,0.5,136
16,4.5,0.75,237
18,4.5,1.5,310
20,2.5,1.25,359
19,4,0.5,336
10,5,1,33
15,4,0.5,196
16,5,1.5,245
19,2.5,1.5,325
19,5,1,348
15,2.5,1,183
13,2,0.5,106
17,3.5,1.5,265
14,3,1,153
20,4.5,0.5,376
16,3,1.5,225
14,5,1,173
13,2.5,1,113
11,3,1.5,50
12,2,1,73
17,2.5,1.5,255
13,3.5,1.25,124
